�����Ͻ�,���޴ɷ�(MW),�������(MW),�ִ뿹������(MW),���޿����(MW),���޿�����(%),������(MW),�������(%)
20260523081000,79840.4,52848.3,59900.0,26992.0,51.0746,7353.1,13.6566
20260523081500,80825.2,53055.6,59900.0,27769.6,52.3406,7965.71,14.7361
20260523082000,80834.2,53651.4,59900.0,27182.8,50.6656,7174.34,13.1284
20260523082500,81304.9,53832.3,59900.0,27472.5,51.0335,7603.66,13.8673
20260523083000,81167.5,53818.3,59900.0,27349.3,50.8178,7611.71,13.8823
20260523083500,81172.9,54107.6,59900.0,27065.3,50.0212,7523.17,13.6429
20260523084000,81212.8,54244.9,59900.0,26968.0,49.7153,7908.27,14.3048
20260523084500,81207.9,54566.6,59900.0,26641.4,48.8236,7518.78,13.5283
20260523085000,81305.6,54560.1,59900.0,26745.5,49.0203,7728.94,13.9117
20260523085500,81353.6,54326.8,59900.0,27026.8,49.7486,8065.12,14.5782
20260523090000,81418.2,54485.1,59900.0,26933.1,49.4321,8154.68,14.7145
20260523090500,81390.7,54705.4,59900.0,26685.3,48.78,8121.6,14.5658
20260523091000,81398.4,54843.6,59900.0,26554.7,48.419,8224.38,14.7174
20260523091500,81306.8,54712.9,59900.0,26593.8,48.6061,8072.24,14.5056
20260523092000,81427.0,54726.4,59900.0,26700.6,48.7892,8451.56,15.1681
20260523092500,81500.0,54850.2,59900.0,26649.8,48.5865,8674.04,15.5299
20260523093000,81481.2,54678.0,59900.0,26803.3,49.0203,8973.95,16.1241
20260523093500,81521.5,54902.6,59900.0,26618.8,48.4837,8900.88,15.9354
20260523094000,81661.0,54588.4,59900.0,27072.6,49.594,9271.07,16.6738
20260523094500,81608.9,54817.8,59900.0,26791.0,48.8729,9290.23,16.6379
20260523095000,81438.1,54675.9,59900.0,26762.2,48.9471,9488.61,17.0557
20260523095500,81378.8,54631.2,59900.0,26747.6,48.9603,9345.35,16.7911
20260523100000,81360.3,54761.1,59900.0,26599.2,48.5732,9292.32,16.6737
20260523100500,81437.0,54856.4,59900.0,26580.6,48.455,9150.58,16.3995
20260523101000,81599.0,54500.3,59900.0,27098.7,49.7221,9648.28,17.385
20260523101500,81624.1,54535.2,59900.0,27088.9,49.6723,10111.0,18.2131
20260523102000,80057.7,54774.6,59900.0,25283.2,46.1586,9245.16,16.5589
20260523102500,80067.8,54934.2,59900.0,25133.6,45.7521,9391.37,16.7652
20260523103000,79665.3,54550.7,59900.0,25114.7,46.0392,9344.09,16.8156
20260523103500,79745.7,54367.8,59900.0,25377.9,46.6783,9483.64,17.0006
20260523104000,79858.3,53890.4,59900.0,25968.0,48.1866,10038.0,18.1213
20260523104500,79914.0,53474.1,59900.0,26439.9,49.4443,10483.7,19.0632
20260523105000,80097.7,53246.1,59900.0,26851.6,50.4293,10686.7,19.5252
20260523105500,80262.5,53014.2,59900.0,27248.2,51.398,10835.4,19.8703
20260523110000,80556.6,52773.7,59900.0,27782.9,52.6453,10951.3,20.1569
20260523110500,79335.9,52790.0,59900.0,26545.9,50.2859,10341.5,19.0249
20260523111000,79352.3,52601.8,59900.0,26750.5,50.8548,10189.4,18.756
20260523111500,79345.2,52285.3,59900.0,27059.9,51.7543,10666.7,19.7293
20260523112000,79354.4,52148.5,59900.0,27205.9,52.17,10631.6,19.7464
20260523112500,79379.2,52030.3,59900.0,27348.9,52.5635,10838.1,20.1675
20260523113000,79421.6,51567.0,59900.0,27854.6,54.0164,10177.1,19.1155
20260523113500,79585.8,51297.5,59900.0,28288.3,55.1455,10519.8,19.8489
20260523114000,79742.1,50871.7,59900.0,28870.4,56.7513,10767.9,20.4405
20260523114500,79779.5,50699.4,59900.0,29080.1,57.3579,10207.9,19.2356
20260523115000,79961.6,50328.2,59900.0,29633.4,58.8803,10595.8,19.9653
20260523115500,79978.1,49636.6,59900.0,30341.4,61.1271,11734.5,22.3954
20260523120000,80121.9,49097.9,59900.0,31024.0,63.1879,12137.3,23.194
20260523120500,79212.2,48644.5,59900.0,30567.7,62.8389,12372.9,23.7052
20260523121000,79395.5,48234.5,59900.0,31160.9,64.6029,13207.5,25.2819
20260523121500,79484.5,48210.5,59900.0,31274.1,64.8699,12662.4,23.9487
20260523122000,79529.7,47879.8,59900.0,31649.9,66.1027,13049.3,24.8026
20260523122500,79472.4,47397.1,59900.0,32075.3,67.6736,13458.5,25.7993
20260523123000,79544.4,47265.1,59900.0,32279.3,68.294,13483.2,25.801
20260523123500,79708.7,47238.6,59900.0,32470.1,68.7365,13102.5,25.0655
20260523124000,79715.1,46976.5,59900.0,32738.5,69.6913,13272.0,25.5356
20260523124500,79852.1,46786.3,59900.0,33065.7,70.674,13182.6,25.4423
20260523125000,79873.3,46851.4,59900.0,33021.9,70.4821,12782.3,24.6531
20260523125500,79928.3,47202.0,59900.0,32726.3,69.3326,12294.1,23.5691
20260523130000,79976.9,47330.4,59900.0,32646.5,68.9758,12198.8,23.3188
20260523130500,80734.7,47527.8,59900.0,33206.9,69.8683,11919.9,22.6994
20260523131000,80818.4,47572.5,59900.0,33245.9,69.8847,11770.3,22.4009
20260523131500,80903.1,47594.9,59900.0,33308.3,69.983,11706.1,22.2607
20260523132000,80949.7,47608.1,59900.0,33341.6,70.0334,11501.8,21.8694
20260523132500,80936.0,47347.8,59900.0,33588.2,70.9393,11453.2,21.9967
20260523133000,80949.2,47235.3,59900.0,33713.9,71.3745,11283.4,21.7387
20260523133500,81000.8,47238.5,59900.0,33762.2,71.4718,11235.7,21.626
20260523134000,80952.9,47352.0,59900.0,33600.8,70.9597,10942.4,21.0271
20260523134500,81070.4,47253.7,59900.0,33816.7,71.5641,10868.4,21.1446
20260523135000,81128.8,47589.2,59900.0,33539.6,70.4773,10849.5,20.9752
20260523135500,81106.6,47088.6,59900.0,34018.0,72.2427,11352.4,22.3011
20260523140000,81036.0,47279.4,59900.0,33756.6,71.3982,10967.0,21.4565
20260523140500,80998.5,47213.3,59900.0,33785.1,71.5585,10965.8,21.4846
20260523141000,81846.6,47442.0,59900.0,34404.6,72.5192,11068.2,21.6662
20260523141500,81861.4,47564.4,59900.0,34296.9,72.1063,10839.0,21.3166
20260523142000,81769.4,47500.5,59900.0,34268.9,72.1442,10657.4,21.0043
20260523142500,81896.0,47892.6,59900.0,34003.4,70.9993,10358.9,20.2451
20260523143000,81841.7,47634.4,59900.0,34207.2,71.812,10440.8,20.5112
20260523143500,81828.0,47363.1,59900.0,34464.9,72.7673,10740.2,21.2249
20260523144000,81783.0,47715.7,59900.0,34067.3,71.3965,10246.4,20.1118
20260523144500,81724.2,47918.2,59900.0,33806.1,70.5496,10189.4,20.0685
20260523145000,81785.0,48171.0,59900.0,33614.0,69.7806,10324.8,20.2137
20260523145500,81859.8,48214.4,59900.0,33645.4,69.783,10284.2,20.106
20260523150000,81755.9,48212.9,59900.0,33542.9,69.5725,10420.1,20.3582
20260523150500,80949.4,48207.1,59900.0,32742.4,67.9202,10511.3,20.5602
20260523151000,80936.7,48484.5,59900.0,32452.2,66.9332,10315.1,20.0413
20260523151500,80788.0,48900.7,59900.0,31887.3,65.2082,9899.57,19.0887
20260523152000,80729.5,49151.2,59900.0,31578.3,64.2473,9687.7,18.6911
20260523152500,80640.5,49337.7,59900.0,31302.7,63.4458,9862.05,19.0648
20260523153000,80633.1,49514.5,59900.0,31118.6,62.8475,9790.99,18.8414
20260523153500,80593.9,49765.2,59900.0,30828.7,61.9484,9536.72,18.3553
20260523154000,80460.3,50083.5,59900.0,30376.8,60.6524,9347.09,18.1117
20260523154500,80289.6,50163.2,59900.0,30126.5,60.0569,9658.16,18.7213
20260523155000,80132.8,50362.4,59900.0,29770.4,59.1123,9468.79,18.2781
20260523155500,80150.9,50793.6,59900.0,29357.2,57.7971,9394.59,17.9796
20260523160000,79996.5,50687.6,59900.0,29308.9,57.8226,9508.68,18.2432
20260523160500,81052.6,51084.1,59900.0,29968.5,58.6649,9596.11,18.2655
